MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,TLKE,PREC,SINT,FT,FM,PEAK,PDIR,VOLT,DWPF
10,27,2009, 17,45,HST, 80.0,85,13.0,18.0,109,9,29.0,,12.69,,79.0,14,18,98,13.20,75.1
10,27,2009, 18,45,HST, 79.0,85,13.0,17.0,121,9,2.0,,12.69,,79.0,15,17,115,13.20,74.1
10,27,2009, 19,45,HST, 77.0,86,6.0,16.0,162,9,0.0,,12.69,,77.0,17,16,117,13.10,72.5
10,27,2009, 20,45,HST, 76.0,88,2.0,9.0,213,9,0.0,,12.69,,75.0,18,9,154,13.10,72.2
10,27,2009, 21,45,HST, 74.0,92,3.0,5.0,158,9,0.0,,12.69,,73.0,19,5,237,13.10,71.5
10,27,2009, 22,45,HST, 73.0,92,2.0,6.0,173,9,0.0,,12.69,,72.0,20,6,219,13.10,70.5
10,27,2009, 23,45,HST, 72.0,94,3.0,4.0,188,9,0.0,,12.69,,71.0,21,4,167,13.10,70.2
10,28,2009, 0,45,HST, 71.0,93,3.0,6.0,178,9,0.0,,12.69,,70.0,22,6,170,13.10,68.9
10,28,2009, 1,45,HST, 71.0,92,3.0,6.0,193,9,0.0,,12.69,,69.0,23,6,169,13.00,68.6
10,28,2009, 2,45,HST, 71.0,94,6.0,7.0,164,9,0.0,,12.69,,69.0,24,7,161,13.00,69.2
10,28,2009, 3,45,HST, 72.0,95,3.0,6.0,175,9,0.0,,12.69,,70.0,24,6,172,13.00,70.5
10,28,2009, 4,45,HST, 71.0,96,4.0,5.0,217,9,0.0,,12.69,,70.0,25,5,210,13.00,69.8
10,28,2009, 5,45,HST, 71.0,95,4.0,5.0,209,9,0.0,,12.69,,69.0,25,5,207,13.00,69.5
10,28,2009, 6,45,HST, 70.0,95,4.0,6.0,245,9,3.0,,12.69,,69.0,25,6,232,13.00,68.5
10,28,2009, 7,45,HST, 74.0,90,4.0,5.0,163,9,98.0,,12.69,,74.0,25,5,236,13.10,70.9
10,28,2009, 8,45,HST, 80.0,76,8.0,11.0,123,9,311.0,,12.69,,84.0,19,11,118,13.50,71.7
10,28,2009, 9,45,HST, 81.0,78,12.0,15.0,116,9,521.0,,12.69,,89.0,16,15,116,14.10,73.5
10,28,2009, 10,45,HST, 82.0,80,11.0,15.0,108,9,580.0,,12.69,,93.0,14,15,109,13.50,75.2
10,28,2009, 11,45,HST, 83.0,78,15.0,18.0,113,9,807.0,,12.69,,94.0,12,18,115,13.80,75.4
10,28,2009, 12,45,HST, 82.0,77,15.0,18.0,111,9,771.0,,12.69,,92.0,10,18,115,14.20,74.1
10,28,2009, 13,45,HST, 81.0,76,10.0,17.0,104,9,462.0,,12.69,,86.0,10,17,107,13.60,72.7
10,28,2009, 14,45,HST, 81.0,76,10.0,13.0,107,9,328.0,,12.69,,85.0,11,13,108,14.10,72.7
10,28,2009, 15,45,HST, 82.0,76,10.0,13.0,105,9,346.0,,12.69,,88.0,12,13,111,13.60,73.7
10,28,2009, 16,45,HST, 81.0,80,9.0,13.0,103,9,183.0,,12.69,,82.0,12,13,99,13.40,74.2
10,28,2009, 17,45,HST, 80.0,83,10.0,13.0,107,9,70.0,,12.69,,80.0,13,13,94,13.30,74.4
10,28,2009, 18,45,HST, 80.0,84,6.0,11.0,122,9,1.0,,12.69,,79.0,15,11,101,13.20,74.7
10,28,2009, 19,45,HST, 78.0,85,3.0,7.0,141,9,0.0,,12.69,,77.0,16,7,129,13.20,73.1
10,28,2009, 20,45,HST, 77.0,92,3.0,5.0,218,9,0.0,,12.69,,76.0,18,5,223,13.10,74.5
10,28,2009, 21,45,HST, 75.0,90,5.0,6.0,240,9,0.0,,12.69,,74.0,20,6,238,13.10,71.9
10,28,2009, 22,45,HST, 74.0,92,2.0,6.0,202,9,0.0,,12.69,,73.0,21,6,205,13.10,71.5
10,28,2009, 23,45,HST, 73.0,94,3.0,7.0,215,9,0.0,,12.69,,72.0,22,7,169,13.10,71.2
10,29,2009, 0,45,HST, 72.0,95,2.0,5.0,225,9,0.0,,12.69,,71.0,23,5,165,13.10,70.5
10,29,2009, 1,45,HST, 73.0,96,6.0,6.0,174,9,0.0,,12.69,,71.0,24,6,173,13.10,71.8
10,29,2009, 2,45,HST, 73.0,96,2.0,6.0,209,9,0.0,,12.69,,71.0,24,6,180,13.00,71.8
10,29,2009, 3,45,HST, 72.0,97,3.0,4.0,224,9,0.0,,12.69,,71.0,25,4,231,13.00,71.1
10,29,2009, 4,45,HST, 72.0,97,2.0,4.0,185,9,0.0,,12.69,,70.0,25,4,214,13.00,71.1
10,29,2009, 5,45,HST, 71.0,97,3.0,4.0,185,9,0.0,,12.69,,70.0,25,4,166,13.00,70.1
10,29,2009, 6,45,HST, 71.0,96,2.0,4.0,185,9,2.0,,12.69,,69.0,26,4,207,13.00,69.8
10,29,2009, 7,45,HST, 75.0,92,2.0,4.0,179,9,92.0,,12.69,,75.0,26,4,178,13.10,72.5
10,29,2009, 8,45,HST, 79.0,80,4.0,6.0,139,9,182.0,,12.69,,81.0,21,6,141,13.30,72.3
10,29,2009, 9,45,HST, 82.0,78,9.0,11.0,113,9,325.0,,12.69,,89.0,18,11,112,13.60,74.4
10,29,2009, 10,45,HST, 82.0,75,11.0,12.0,114,9,657.0,,12.69,,94.0,13,12,110,13.50,73.3
10,29,2009, 11,45,HST, 83.0,74,9.0,13.0,96,9,789.0,,12.69,,98.0,11,13,112,13.50,73.8
10,29,2009, 12,45,HST, 83.0,75,9.0,11.0,87,9,825.0,,12.69,,98.0,10,11,83,13.50,74.2
10,29,2009, 13,45,HST, 84.0,71,7.0,11.0,59,9,785.0,,12.69,,98.0,9,11,74,13.40,73.6
10,29,2009, 14,45,HST, 83.0,71,6.0,9.0,52,9,693.0,,12.69,,96.0,9,9,57,13.70,72.6
10,29,2009, 15,45,HST, 82.0,76,5.0,8.0,66,9,331.0,,12.69,,87.0,10,8,50,13.60,73.7
10,29,2009, 16,45,HST, 82.0,79,5.0,7.0,55,9,167.0,,12.69,,85.0,11,7,72,13.70,74.8
10,29,2009, 17,45,HST, 80.0,81,5.0,7.0,70,9,85.0,,12.69,,80.0,12,7,62,13.30,73.6
10,29,2009, 18,45,HST, 79.0,85,5.0,7.0,78,9,3.0,,12.69,,78.0,14,7,72,13.20,74.1
10,29,2009, 19,45,HST, 77.0,87,3.0,6.0,191,9,0.0,,12.69,,76.0,16,6,81,13.20,72.8
10,29,2009, 20,45,HST, 75.0,92,3.0,4.0,165,9,0.0,,12.69,,74.0,18,4,185,13.10,72.5
10,29,2009, 21,45,HST, 75.0,95,2.0,4.0,182,9,0.0,,12.69,,74.0,19,4,173,13.10,73.5
10,29,2009, 22,45,HST, 74.0,96,2.0,4.0,184,9,0.0,,12.69,,73.0,21,4,167,13.10,72.8
10,29,2009, 23,45,HST, 73.0,96,3.0,4.0,167,9,0.0,,12.69,,72.0,22,4,166,13.10,71.8
10,30,2009, 0,45,HST, 74.0,96,5.0,6.0,149,9,0.0,,12.69,,74.0,24,6,154,13.10,72.8
10,30,2009, 1,45,HST, 78.0,92,11.0,14.0,110,9,0.0,,12.69,,76.0,23,14,105,13.10,75.5
10,30,2009, 2,45,HST, 78.0,87,12.0,15.0,110,9,0.0,,12.69,,77.0,21,15,115,13.10,73.8
10,30,2009, 3,45,HST, 77.0,86,6.0,15.0,141,9,0.0,,12.69,,76.0,20,15,113,13.00,72.5
10,30,2009, 4,45,HST, 75.0,90,3.0,6.0,158,9,0.0,,12.69,,74.0,22,6,184,13.00,71.9
10,30,2009, 5,45,HST, 75.0,91,5.0,7.0,152,0,0.0,,12.69,,74.0,22,7,150,13.00,72.2
10,30,2009, 6,45,HST, 78.0,85,10.0,13.0,108,9,2.0,,12.69,,77.0,21,13,102,13.00,73.1
10,30,2009, 7,45,HST, 80.0,80,12.0,14.0,111,9,84.0,,12.69,,80.0,18,14,113,13.10,73.3
10,30,2009, 8,45,HST, 81.0,76,12.0,15.0,107,0,310.0,,12.69,,86.0,15,15,104,13.50,72.7
10,30,2009, 9,45,HST, 81.0,77,11.0,17.0,107,0,380.0,,12.69,,87.0,13,17,114,13.60,73.1
10,30,2009, 10,45,HST, 82.0,74,11.0,14.0,111,9,509.0,,12.69,,92.0,13,14,111,13.90,72.9
10,30,2009, 11,45,HST, 83.0,75,12.0,14.0,97,9,809.0,,12.69,,96.0,11,14,106,13.80,74.2
10,30,2009, 12,45,HST, 83.0,73,10.0,14.0,100,9,851.0,,12.69,,98.0,10,14,94,13.50,73.4
10,30,2009, 13,45,HST, 82.0,75,12.0,15.0,90,9,820.0,,12.69,,96.0,9,15,94,13.40,73.3
